home,score,away,year,Match_no
Germany,Match 1,Scotland,2024,1
Hungary,Match 2,Switzerland,2024,2
Spain,Match 3,Croatia,2024,3
Italy,Match 4,Albania,2024,4
Serbia,Match 5,England,2024,5
Slovenia,Match 6,Denmark,2024,6
Poland,Match 7,Netherlands,2024,7
Austria,Match 8,France,2024,8
Belgium,Match 9,Slovakia,2024,9
Romania,Match 10,Ukraine,2024,10
Turkey,Match 11,Georgia,2024,11
Portugal,Match 12,Czech Republic,2024,12
Scotland,Match 13,Switzerland,2024,13
Germany,Match 14,Hungary,2024,14
Croatia,Match 15,Albania,2024,15
Spain,Match 16,Italy,2024,16
Denmark,Match 17,England,2024,17
Slovenia,Match 18,Serbia,2024,18
Poland,Match 19,Austria,2024,19
Netherlands,Match 20,France,2024,20
Slovakia,Match 21,Ukraine,2024,21
Belgium,Match 22,Romania,2024,22
Turkey,Match 23,Portugal,2024,23
Georgia,Match 24,Czech Republic,2024,24
Switzerland,Match 25,Germany,2024,25
Scotland,Match 26,Hungary,2024,26
Albania,Match 27,Spain,2024,27
Croatia,Match 28,Italy,2024,28
England,Match 29,Slovenia,2024,29
Denmark,Match 30,Serbia,2024,30
Netherlands,Match 31,Austria,2024,31
France,Match 32,Poland,2024,32
Slovakia,Match 33,Romania,2024,33
Ukraine,Match 34,Belgium,2024,34
Georgia,Match 35,Portugal,2024,35
Czech Republic,Match 36,Turkey,2024,36
Winner Group A,Match 37,Runner-up Group C,2024,37
Runner-up Group A,Match 38,Runner-up Group B,2024,38
Winner Group B,Match 39,3rd Group A/D/E/F,2024,39
Winner Group C,Match 40,3rd Group D/E/F,2024,40
Winner Group F,Match 41,3rd Group A/B/C,2024,41
Runner-up Group D,Match 42,Runner-up Group E,2024,42
Winner Group E,Match 43,3rd Group A/B/C/D,2024,43
Winner Group D,Match 44,Runner-up Group F,2024,44
Winner Match 39,Match 45,Winner Match 37,2024,45
Winner Match 41,Match 46,Winner Match 42,2024,46
Winner Match 43,Match 47,Winner Match 44,2024,47
Winner Match 40,Match 48,Winner Match 38,2024,48
Winner Match 45,Match 49,Winner Match 46,2024,49
Winner Match 47,Match 50,Winner Match 48,2024,50
Winner Match 49,Match 51,Winner Match 50,2024,51
